match_id,old_odd,last_update
Lech Poznań_Lechia Gdańsk_totals_Under_3.0,2.05,2026-01-31 17:51:38.591849
1. FC Kaiserslautern_Elversberg_h2h_1. FC Kaiserslautern_0,2.95,2026-01-31 19:00:16.514250
1. FC Kaiserslautern_Elversberg_h2h_Elversberg_0,2.3,2026-01-31 19:00:16.517691
1. FC Kaiserslautern_Elversberg_h2h_Draw_0,3.5,2026-01-31 19:00:16.521160
1. FC Kaiserslautern_Elversberg_totals_Over_2.5,1.6,2026-01-31 19:00:16.524618
1. FC Kaiserslautern_Elversberg_totals_Under_2.5,2.25,2026-01-31 19:00:17.188279
Lech Poznań_Lechia Gdańsk_totals_Over_3.25,2.03,2026-01-31 19:00:16.505939
Lech Poznań_Lechia Gdańsk_totals_Under_3.25,1.85,2026-01-31 19:00:16.509169
Grasshopper Zürich_FC Lugano_h2h_FC Lugano_0,2.06,2026-01-31 19:00:17.193817
Grasshopper Zürich_FC Lugano_h2h_Grasshopper Zürich_0,3.56,2026-01-31 19:00:17.196991
Grasshopper Zürich_FC Lugano_h2h_Draw_0,3.73,2026-01-31 19:00:17.200040
Grasshopper Zürich_FC Lugano_totals_Over_2.75,1.96,2026-01-31 19:00:17.203252
Grasshopper Zürich_FC Lugano_totals_Under_2.75,1.93,2026-01-31 19:00:17.206340
Cagliari_Hellas Verona_h2h_Cagliari_0,2.1,2026-01-31 19:38:47.131534
Cagliari_Hellas Verona_h2h_Hellas Verona_0,3.7,2026-01-31 19:38:47.135904
Cagliari_Hellas Verona_h2h_Draw_0,2.85,2026-01-31 19:38:47.139555
Sint Truiden_Charleroi_h2h_Charleroi_0,2.88,2026-01-31 19:38:47.145112
Sint Truiden_Charleroi_h2h_Sint Truiden_0,2.23,2026-01-31 19:38:47.148726
Sint Truiden_Charleroi_h2h_Draw_0,3.45,2026-01-31 19:38:47.152300
Sint Truiden_Charleroi_totals_Over_2.5,1.72,2026-01-31 19:38:47.155921
Sint Truiden_Charleroi_totals_Under_2.5,1.97,2026-01-31 19:38:47.741748
Elche CF_Barcelona_h2h_Barcelona_0,1.27,2026-01-31 19:38:47.747549
Elche CF_Barcelona_h2h_Elche CF_0,8.5,2026-01-31 19:38:48.279667
Elche CF_Barcelona_h2h_Draw_0,6.45,2026-01-31 19:38:48.283287
Córdoba_Real Valladolid CF_h2h_Córdoba_0,1.64,2026-01-31 19:38:48.288796
Córdoba_Real Valladolid CF_h2h_Real Valladolid CF_0,3.8,2026-01-31 19:38:48.821225
Córdoba_Real Valladolid CF_h2h_Draw_0,3.1,2026-01-31 19:38:48.824865
Dundee United_Hearts_h2h_Dundee United_0,4.5,2026-01-31 19:38:48.830367
Dundee United_Hearts_h2h_Hearts_0,1.75,2026-01-31 19:38:48.834045
Dundee United_Hearts_h2h_Draw_0,3.6,2026-01-31 19:38:49.375887
Sparta Rotterdam_Groningen_h2h_Groningen_0,2.75,2026-01-31 19:38:49.381486
Sparta Rotterdam_Groningen_h2h_Sparta Rotterdam_0,2.3,2026-01-31 19:38:49.384803
Sparta Rotterdam_Groningen_h2h_Draw_0,3.45,2026-01-31 19:38:49.387927
Sparta Rotterdam_Groningen_totals_Over_2.5,1.66,2026-01-31 19:38:49.391052
Sparta Rotterdam_Groningen_totals_Under_2.5,2.06,2026-01-31 19:38:49.924646
Liverpool_Newcastle United_h2h_Liverpool_0,1.67,2026-01-31 19:38:49.930072
Liverpool_Newcastle United_h2h_Newcastle United_0,4.6,2026-01-31 19:38:50.454477
Liverpool_Newcastle United_h2h_Draw_0,4.3,2026-01-31 19:38:50.457773
Liverpool_Newcastle United_totals_Over_3.5,2.08,2026-01-31 19:38:50.460902
Liverpool_Newcastle United_totals_Under_3.5,1.64,2026-01-31 19:38:50.463975
AS Monaco_Rennes_h2h_AS Monaco_0,1.94,2026-01-31 19:38:50.989123
AS Monaco_Rennes_h2h_Rennes_0,3.45,2026-01-31 19:38:50.992511
AS Monaco_Rennes_h2h_Draw_0,3.95,2026-01-31 19:38:50.995666
América_Necaxa_h2h_América_0,1.34,2026-01-31 21:48:54.595386
América_Necaxa_h2h_Necaxa_0,7.0,2026-01-31 21:48:55.506089
América_Necaxa_h2h_Draw_0,4.2,2026-01-31 21:48:55.509564
Independiente_Velez Sarsfield BA_h2h_Independiente_0,1.85,2026-01-31 21:48:55.514732
Independiente_Velez Sarsfield BA_h2h_Velez Sarsfield BA_0,3.5,2026-01-31 21:48:55.517920
Independiente_Velez Sarsfield BA_h2h_Draw_0,2.65,2026-01-31 21:48:55.521158
Atlas_Mazatlán FC_h2h_Atlas_0,1.72,2026-01-31 21:48:55.526196
Atlas_Mazatlán FC_h2h_Mazatlán FC_0,4.0,2026-01-31 21:48:56.194970
Atlas_Mazatlán FC_h2h_Draw_0,3.45,2026-01-31 21:48:56.198515
Atlético San Luis_Guadalajara_h2h_Atlético San Luis_0,3.95,2026-01-31 21:48:56.203876
Atlético San Luis_Guadalajara_h2h_Guadalajara_0,1.85,2026-01-31 21:48:56.207203
Atlético San Luis_Guadalajara_h2h_Draw_0,3.55,2026-01-31 21:48:56.210523
Atlético San Luis_Guadalajara_totals_Over_2.5,1.82,2026-01-31 21:48:56.213863
Atlético San Luis_Guadalajara_totals_Under_2.5,1.89,2026-01-31 21:48:56.896651
Atlético Tucuman_Atlético Huracán_h2h_Atlético Huracán_0,2.8,2026-01-31 21:48:56.901981
Atlético Tucuman_Atlético Huracán_h2h_Atlético Tucuman_0,2.35,2026-01-31 21:48:56.905226
Atlético Tucuman_Atlético Huracán_h2h_Draw_0,2.55,2026-01-31 21:48:56.908475
Monterrey_Tijuana_h2h_Monterrey_0,1.52,2026-01-31 21:48:56.913630
Monterrey_Tijuana_h2h_Tijuana_0,4.8,2026-01-31 21:48:57.613528
Monterrey_Tijuana_h2h_Draw_0,3.85,2026-01-31 21:48:57.617160
Talleres_Platense_h2h_Platense_0,4.4,2026-01-31 21:48:57.622469
Talleres_Platense_h2h_Talleres_0,1.9,2026-01-31 21:48:57.625909
Talleres_Platense_h2h_Draw_0,2.75,2026-01-31 21:48:57.629156
León_Tigres_h2h_León_0,3.2,2026-01-31 21:48:57.634308
León_Tigres_h2h_Tigres_0,2.1,2026-01-31 21:48:57.637615
León_Tigres_h2h_Draw_0,3.4,2026-01-31 21:48:57.640957
Standard Liege_Anderlecht_h2h_Anderlecht_0,2.18,2026-02-01 11:54:04.836835
Standard Liege_Anderlecht_h2h_Standard Liege_0,3.15,2026-02-01 11:54:04.840983
Standard Liege_Anderlecht_h2h_Draw_0,3.2,2026-02-01 11:54:04.844249
Standard Liege_Anderlecht_totals_Over_2.5,2.05,2026-02-01 11:54:04.847578
Standard Liege_Anderlecht_totals_Under_2.5,1.67,2026-02-01 11:54:04.851187
PSV Eindhoven_Feyenoord_h2h_Feyenoord_0,4.2,2026-02-01 13:06:52.616409
PSV Eindhoven_Feyenoord_h2h_PSV Eindhoven_0,1.62,2026-02-01 13:06:52.621586
PSV Eindhoven_Feyenoord_h2h_Draw_0,4.3,2026-02-01 13:06:53.414905
Aston Villa_Brentford_h2h_Aston Villa_0,2.35,2026-02-01 13:06:53.432953
Aston Villa_Brentford_h2h_Brentford_0,3.37,2026-02-01 13:06:53.436637
Aston Villa_Brentford_h2h_Draw_0,3.42,2026-02-01 13:06:53.440115
Aston Villa_Brentford_totals_Over_2.5,1.93,2026-02-01 13:06:53.443538
Aston Villa_Brentford_totals_Under_2.5,2.01,2026-02-01 13:06:53.446890
Como_Atalanta BC_h2h_Atalanta BC_0,3.52,2026-02-01 13:06:53.454366
Como_Atalanta BC_h2h_Como_0,2.28,2026-02-01 13:06:53.457926
Como_Atalanta BC_h2h_Draw_0,3.42,2026-02-01 13:06:53.461392
Como_Atalanta BC_totals_Over_2.5,2.03,2026-02-01 13:06:53.464782
Como_Atalanta BC_totals_Under_2.5,1.92,2026-02-01 13:06:53.468161
Dender_Genk_h2h_Dender_0,3.55,2026-02-01 14:03:11.516322
Dender_Genk_h2h_Genk_0,1.97,2026-02-01 14:03:11.520563
Dender_Genk_h2h_Draw_0,3.35,2026-02-01 14:03:11.523893
Dender_Genk_totals_Over_2.5,1.83,2026-02-01 14:03:11.527222
Dender_Genk_totals_Under_2.5,1.85,2026-02-01 14:03:11.530620
Real Betis_Valencia_h2h_Real Betis_0,1.93,2026-02-01 14:03:11.537786
Real Betis_Valencia_h2h_Valencia_0,4.42,2026-02-01 14:03:11.541134
Real Betis_Valencia_h2h_Draw_0,3.68,2026-02-01 14:03:11.544513
Real Betis_Valencia_totals_Over_2.5,1.84,2026-02-01 14:03:11.547899
Real Betis_Valencia_totals_Under_2.5,2.11,2026-02-01 14:03:11.551264
Angers_Metz_h2h_Angers_0,2.1,2026-02-01 15:33:33.056332
Angers_Metz_h2h_Metz_0,3.6,2026-02-01 15:33:33.060378
Angers_Metz_h2h_Draw_0,3.35,2026-02-01 15:33:33.063662
Toulouse_Auxerre_h2h_Auxerre_0,4.95,2026-02-01 15:33:33.070654
Toulouse_Auxerre_h2h_Toulouse_0,1.75,2026-02-01 15:33:33.073957
Toulouse_Auxerre_h2h_Draw_0,3.55,2026-02-01 15:33:33.670851
Nice_Brest_h2h_Brest_0,3.29,2026-02-01 15:33:33.678266
Nice_Brest_h2h_Nice_0,2.36,2026-02-01 15:33:33.681619
Nice_Brest_h2h_Draw_0,3.48,2026-02-01 15:33:33.684934
Nice_Brest_totals_Over_2.5,1.84,2026-02-01 15:33:33.688293
Nice_Brest_totals_Under_2.5,2.12,2026-02-01 15:33:33.691649
Padova_Monza_h2h_Monza_0,1.85,2026-02-01 15:33:33.698707
Padova_Monza_h2h_Padova_0,4.35,2026-02-01 15:33:33.702037
Padova_Monza_h2h_Draw_0,3.15,2026-02-01 15:33:33.705326
Padova_Monza_totals_Over_1.5,1.4,2026-02-01 15:33:33.708674
Padova_Monza_totals_Under_1.5,2.7,2026-02-01 15:33:33.712008
