match_id,old_odd,last_update
Werder Bremen_Borussia Monchengladbach_h2h_Werder Bremen_0,2.23,2026-01-31 14:00:45.026197
Werder Bremen_Borussia Monchengladbach_h2h_Draw_0,3.61,2026-01-31 14:00:45.028870
Werder Bremen_Borussia Monchengladbach_totals_Over_2.75,1.97,2026-01-31 14:00:45.031618
Werder Bremen_Borussia Monchengladbach_totals_Under_2.75,1.93,2026-01-31 14:00:45.034296
RB Leipzig_FSV Mainz 05_h2h_FSV Mainz 05_0,5.53,2026-01-31 14:00:45.038843
RB Leipzig_FSV Mainz 05_h2h_RB Leipzig_0,1.57,2026-01-31 14:00:45.041512
RB Leipzig_FSV Mainz 05_h2h_Draw_0,4.62,2026-01-31 14:00:45.733729
RB Leipzig_FSV Mainz 05_totals_Over_3.25,2.08,2026-01-31 14:00:45.755073
RB Leipzig_FSV Mainz 05_totals_Under_3.25,1.84,2026-01-31 14:00:45.765021
TSG Hoffenheim_Union Berlin_h2h_TSG Hoffenheim_0,1.83,2026-01-31 14:00:46.477612
TSG Hoffenheim_Union Berlin_h2h_Union Berlin_0,4.66,2026-01-31 14:00:47.153900
TSG Hoffenheim_Union Berlin_h2h_Draw_0,3.73,2026-01-31 14:00:47.156841
TSG Hoffenheim_Union Berlin_totals_Over_2.5,1.87,2026-01-31 14:00:47.159616
TSG Hoffenheim_Union Berlin_totals_Under_2.5,2.04,2026-01-31 14:00:47.162361
Kilmarnock_Aberdeen_h2h_Aberdeen_0,2.24,2026-01-31 14:00:47.167064
Kilmarnock_Aberdeen_h2h_Kilmarnock_0,3.15,2026-01-31 14:00:47.169864
Kilmarnock_Aberdeen_h2h_Draw_0,3.24,2026-01-31 14:00:47.172610
Accrington Stanley_Cheltenham Town_h2h_Accrington Stanley_0,1.94,2026-01-31 14:00:47.177286
Accrington Stanley_Cheltenham Town_h2h_Cheltenham Town_0,3.8,2026-01-31 14:00:47.180087
Accrington Stanley_Cheltenham Town_h2h_Draw_0,3.25,2026-01-31 14:00:47.182919
Accrington Stanley_Cheltenham Town_totals_Over_2.5,2.02,2026-01-31 14:00:47.185722
Accrington Stanley_Cheltenham Town_totals_Under_2.5,1.68,2026-01-31 14:00:47.188569
Panetolikos Agrinio_Aris Thessaloniki_h2h_Aris Thessaloniki_0,1.78,2026-01-31 14:00:47.869638
Panetolikos Agrinio_Aris Thessaloniki_h2h_Panetolikos Agrinio_0,4.2,2026-01-31 14:00:48.567032
Panetolikos Agrinio_Aris Thessaloniki_h2h_Draw_0,3.1,2026-01-31 14:00:48.570024
Atromitos Athens_OFI Crete_h2h_Atromitos Athens_0,1.77,2026-01-31 15:46:43.153681
Atromitos Athens_OFI Crete_h2h_OFI Crete_0,4.3,2026-01-31 15:46:43.940905
Atromitos Athens_OFI Crete_h2h_Draw_0,3.25,2026-01-31 15:46:43.943864
Atromitos Athens_OFI Crete_totals_Over_2.5,2.06,2026-01-31 15:46:43.946548
